"","id","player_name"
"193",660757,"Oscar González"
"194",663527,"Tyler Nevin"
"195",663837,"Matt Vierling"
"196",666310,"Bo Naylor"
"197",668670,"Jake Rogers"
"198",668731,"Akil Baddoo"
"199",671289,"Tyler Freeman"
"200",677587,"Brayan Rocchio"
"201",677588,"José Tena"
"202",678009,"Parker Meadows"
"203",679529,"Spencer Torkelson"
"204",680757,"Steven Kwan"
"205",681481,"Kerry Carpenter"
"206",686823,"Will Brennan"
"207",493329,"Yuli Gurriel"
"208",542932,"Jon Berti"
"209",607732,"Jacob Stallings"
"210",609280,"Miguel Andújar"
"211",621563,"Joey Wendle"
"212",641511,"Jason Delay"
"213",641658,"Garrett Hampson"
"214",650559,"Bryan De La Cruz"
"215",656582,"Connor Joe"
"216",660821,"Jesús Sánchez"
"217",663743,"Nick Fortes"
"218",669261,"Jack Suwinski"
"219",669364,"Xavier Edwards"
"220",669707,"Jared Triolo"
"221",678225,"Ji Hwan Bae"
"222",678894,"Liover Peguero"
"223",680779,"Henry Davis"
"224",693304,"Nick Gonzales"
"225",444482,"David Peralta"
"226",502110,"J. D. Martinez"
"227",518692,"Freddie Freeman"
"228",543063,"Brandon Crawford"
"229",543939,"Kolten Wong"
"230",571771,"Enrique Hernández"
"231",571970,"Max Muncy"
"232",573262,"Mike Yastrzemski"
"233",592626,"Joc Pederson"
"234",605141,"Mookie Betts"
"235",621035,"Chris Taylor"
"236",624424,"Michael Conforto"
"237",642708,"Amed Rosario"
"238",642731,"Thairo Estrada"
"239",664774,"LaMonte Wade"
"240",666149,"Tyler Fitzgerald"
"241",666165,"Blake Sabol"
"242",669257,"Will Smith"
"243",669477,"Casey Schmitt"
"244",681546,"James Outman"
"245",467793,"Carlos Santana"
"246",518626,"Josh Donaldson"
"247",592192,"Mark Canha"
"248",592885,"Christian Yelich"
"249",600869,"Jeimer Candelario"
"250",605170,"Víctor Caratini"
"251",621438,"Tyrone Taylor"
"252",621550,"Patrick Wisdom"
"253",642133,"Rowdy Tellez"
"254",642715,"Willy Adames"
"255",643565,"Mike Tauchman"
"256",655316,"Andruw Monasterio"
"257",661388,"William Contreras"
"258",663368,"Blake Perkins"
"259",665804,"Miguel Amaya"
"260",666624,"Christopher Morel"
"261",668930,"Brice Turang"
"262",669003,"Garrett Mitchell"
"263",670156,"Miles Mastrobuoni"
"264",672744,"Alexander Canario"
"265",676724,"Jared Young"
"266",686217,"Sal Frelick"
"267",691718,"Pete Crow-Armstrong"
"268",500871,"Eduardo Escobar"
"269",545341,"Randal Grichuk"
"270",592273,"Brandon Drury"
"271",621433,"Brett Phillips"
"272",664058,"David Fletcher"
"273",665923,"Esteury Ruiz"
"274",666176,"Jo Adell"
"275",667670,"Brent Rooker"
"276",668709,"JJ Bleday"
"277",669397,"Nick Allen"
"278",671732,"Lawrence Butler"
"279",672478,"Jordan Diaz"
"280",676116,"Ryan Noda"
"281",680869,"Zack Gelof"
"282",681351,"Logan O'Hoppe"
"283",683021,"Michael Stefanic"
"284",687263,"Zach Neto"
"285",691016,"Tyler Soderstrom"
"286",543257,"Robbie Grossman"
"287",606192,"Teoscar Hernández"
"288",664059,"Sam Haggerty"
"289",457759,"Justin Turner"
"290",543510,"James McCann"
"291",596115,"Trevor Story"
"292",602104,"Ramón Urías"
"293",608701,"Rob Refsnyder"
"294",622569,"Pablo Reyes"
"295",622761,"Jorge Mateo"
"296",623993,"Anthony Santander"
"297",624428,"Adam Frazier"
"298",624512,"Reese McGuire"
"299",646240,"Rafael Devers"
"300",656775,"Cedric Mullins"
"301",656811,"Ryan O'Hearn"
"302",657077,"Alex Verdugo"
"303",657136,"Connor Wong"
"304",663624,"Ryan Mountcastle"
"305",665839,"Enmanuel Valdez"
"306",666915,"Bobby Dalbec"
"307",668939,"Adley Rutschman"
"308",676059,"Jordan Westburg"
"309",677008,"Heston Kjerstad"
"310",677800,"Wilyer Abreu"
"311",678882,"Ceddanne Rafaela"
"312",683002,"Gunnar Henderson"
"313",807799,"Masataka Yoshida"
"314",572191,"Michael Taylor"
"315",676701,"Alan Trejo"
"316",696100,"Hunter Goodman"
"317",642086,"Dominic Smith"
"318",666906,"Jake Alu"
"319",669221,"Sean Murphy"
"320",502054,"Tommy Pham"
"321",572233,"Christian Walker"
"322",606466,"Ketel Marte"
"323",672515,"Gabriel Moreno"
"324",682998,"Corbin Carroll"
"325",519058,"Mike Moustakas"
"326",542208,"Carlos Pérez"
"327",649557,"Aledmys Díaz"
"328",666160,"Mickey Moniak"
"329",669127,"Shea Langeliers"
"330",694384,"Nolan Schanuel"
"331",502671,"Paul Goldschmidt"
"332",660766,"Juan Yepez"
"333",663697,"Jonathan India"
"334",668715,"Spencer Steer"
"335",670770,"TJ Friedl"
"336",671056,"Iván Herrera"
"337",543228,"Yan Gomes"
"338",621020,"Dansby Swanson"
"339",641355,"Cody Bellinger"
"340",664023,"Ian Happ"
"341",673548,"Seiya Suzuki"
"342",641313,"Tim Anderson"
"343",650391,"Eloy Jiménez"
"344",660162,"Yoán Moncada"
"345",676882,"Chandler Seagle"
