"","date","game_pk","batter","batter_name","batter_team","pitcher_name","pitcher","pitcher_team","4-Seam Fastball_L_90","Changeup_L_90","Curveball_L_90","Cutter_L_90","Sinker_L_90","Slider_L_90","Sweeper_L_90","4-Seam Fastball_R_90","Changeup_R_90","Curveball_R_90","Cutter_R_90","Knuckle Curve_R_90","Knuckleball_R_90","Sinker_R_90","Slider_R_90","Slurve_R_90","Split-Finger_R_90","Sweeper_R_90","Knuckle Curve_L_90","Forkball_L_90","Split-Finger_L_90","Other_R_90","Slurve_L_90","Eephus_R_90","Pitch Out_R_90","_R_90","_L_90","Pitch Out_L_90","Slow Curve_R_90","Forkball_R_90","xba","xba_L","xba_R","xba_25","pa_per_game","4-Seam Fastball_L_ZO","Changeup_L_ZO","Curveball_L_ZO","Cutter_L_ZO","Sinker_L_ZO","Slider_L_ZO","Sweeper_L_ZO","4-Seam Fastball_R_ZO","Changeup_R_ZO","Curveball_R_ZO","Cutter_R_ZO","Knuckle Curve_R_ZO","Knuckleball_R_ZO","Sinker_R_ZO","Slider_R_ZO","Slurve_R_ZO","Split-Finger_R_ZO","Sweeper_R_ZO","Knuckle Curve_L_ZO","Forkball_L_ZO","Split-Finger_L_ZO","Other_R_ZO","Slurve_L_ZO","Eephus_R_ZO","Pitch Out_R_ZO","_R_ZO","_L_ZO","Pitch Out_L_ZO","Slow Curve_R_ZO","Forkball_R_ZO","4-Seam Fastball_R_90_pitcher","Changeup_R_90_pitcher","Curveball_R_90_pitcher","Slider_R_90_pitcher","Cutter_R_90_pitcher","Sinker_R_90_pitcher","Split-Finger_R_90_pitcher","Sweeper_R_90_pitcher","4-Seam Fastball_L_90_pitcher","Cutter_L_90_pitcher","Slider_L_90_pitcher","Split-Finger_L_90_pitcher","Pitch Out_R_90_pitcher","Changeup_L_90_pitcher","Curveball_L_90_pitcher","Sinker_L_90_pitcher","Slurve_L_90_pitcher","Knuckle Curve_R_90_pitcher","Sweeper_L_90_pitcher","Knuckle Curve_L_90_pitcher","_R_90_pitcher","Slow Curve_R_90_pitcher","Slurve_R_90_pitcher","Pitch Out_L_90_pitcher","_L_90_pitcher","Eephus_R_90_pitcher","Other_R_90_pitcher","Knuckleball_R_90_pitcher","Forkball_R_90_pitcher","Forkball_L_90_pitcher","p_throws","4-Seam Fastball_R_usage","Changeup_R_usage","Curveball_R_usage","Slider_R_usage","Cutter_R_usage","Sinker_R_usage","Split-Finger_R_usage","Sweeper_R_usage","4-Seam Fastball_L_usage","Cutter_L_usage","Slider_L_usage","Split-Finger_L_usage","Pitch Out_R_usage","Changeup_L_usage","Curveball_L_usage","Sinker_L_usage","Slurve_L_usage","Knuckle Curve_R_usage","Sweeper_L_usage","Knuckle Curve_L_usage","_R_usage","Slow Curve_R_usage","Slurve_R_usage","Pitch Out_L_usage","_L_usage","Eephus_R_usage","Other_R_usage","Knuckleball_R_usage","Forkball_R_usage","Forkball_L_usage","xba_75_pitcher","bf_per_game_pitcher","xba_150_bullpen","throw_L","throw_R"
"25","2024-05-03",746721,676059,"Jordan Westburg","BltO","Hunter Greene",668881,"CncR",0.296296296296296,0.208333333333333,NA,NA,NA,0.272727272727273,NA,0.314285714285714,NA,0,NA,NA,NA,0.4,0.25,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344308411214953,0.374151515151515,0.331,0.301416666666667,4,0.483157894736842,0.6,NA,NA,NA,NA,NA,0.60421052631579,NA,NA,NA,NA,NA,0.195604395604396,0.386201991465149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214285714285714,NA,NA,0.168224299065421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",0.549248747913189,0,0.0217028380634391,0.382303839732888,0,0,0.0467445742904841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187910447761194,24,NA,0,1
"26","2024-05-03",746721,677008,"Heston Kjerstad","BltO","Hunter Greene",668881,"CncR",NA,NA,NA,NA,NA,NA,NA,0.0714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152714285714286,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214285714285714,NA,NA,0.168224299065421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",0.549248747913189,0,0.0217028380634391,0.382303839732888,0,0,0.0467445742904841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187910447761194,24,NA,0,1
"27","2024-05-03",746721,622761,"Jorge Mateo","BltO","Hunter Greene",668881,"CncR",0.333333333333333,0.0833333333333333,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266268292682927,0.214793103448276,NA,0.331181818181818,3.13333333333333,0.181818181818182,0.483333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214285714285714,NA,NA,0.168224299065421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",0.549248747913189,0,0.0217028380634391,0.382303839732888,0,0,0.0467445742904841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187910447761194,24,NA,0,1
"28","2024-05-03",746721,663697,"Jonathan India","CncR","Cole Irvin",608344,"BltO",0.133333333333333,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.193548387096774,0.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283736842105263,0.305230769230769,0.27563768115942,0.25492,4.38461538461539,0.31547619047619,NA,NA,NA,0.268421052631579,NA,NA,0.473135964912281,NA,NA,NA,NA,NA,0.304347826086957,0.249084249084249,NA,NA,0.223529411764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24390243902439,0.382352941176471,NA,NA,NA,0.416666666666667,0.365384615384615,0.212765957446809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L",0,0,0,0,0,0,0,0,0.222222222222222,0.141843971631206,0.00472813238770686,0,0,0.106382978723404,0.283687943262411,0.24113475177305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237014285714286,23.2,NA,1,0
"29","2024-05-03",746721,682829,"Elly De La Cruz","CncR","Cole Irvin",608344,"BltO",0.466666666666667,0,NA,NA,0.181818181818182,0.0555555555555556,NA,0.26530612244898,0.25,NA,0.294117647058824,NA,NA,0.636363636363636,0.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.271046728971963,0.208054054054054,0.304342857142857,0.263380952380952,4.06451612903226,0.4125,0.220238095238095,NA,NA,NA,0.107142857142857,NA,0.372641509433962,0.698412698412698,-0.225563909774436,0.236111111111111,NA,NA,NA,0.405797101449275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24390243902439,0.382352941176471,NA,NA,NA,0.416666666666667,0.365384615384615,0.212765957446809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L",0,0,0,0,0,0,0,0,0.222222222222222,0.141843971631206,0.00472813238770686,0,0,0.106382978723404,0.283687943262411,0.24113475177305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237014285714286,23.2,NA,1,0
"30","2024-05-03",746721,668715,"Spencer Steer","CncR","Cole Irvin",608344,"BltO",0.333333333333333,0.315789473684211,NA,NA,0.294117647058824,NA,NA,0.285714285714286,NA,NA,NA,NA,NA,0.25,0.166666666666667,NA,0.538461538461538,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258342342342342,0.261027777777778,0.257053333333333,0.167608695652174,4.25806451612903,0.363636363636364,0.511904761904762,NA,NA,0.364285714285714,NA,NA,0.434659090909091,NA,NA,NA,NA,NA,0.447409733124019,0.196581196581197,NA,NA,0.493506493506494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24390243902439,0.382352941176471,NA,NA,NA,0.416666666666667,0.365384615384615,0.212765957446809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L",0,0,0,0,0,0,0,0,0.222222222222222,0.141843971631206,0.00472813238770686,0,0,0.106382978723404,0.283687943262411,0.24113475177305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237014285714286,23.2,NA,1,0
"31","2024-05-03",746721,663886,"Tyler Stephenson","CncR","Cole Irvin",608344,"BltO",NA,NA,NA,NA,0.4,NA,NA,0.3125,NA,NA,NA,NA,NA,0.333333333333333,0.384615384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266630769230769,NA,0.243066666666667,0.151,3.5,NA,NA,NA,NA,0.114285714285714,NA,NA,0.404761904761905,NA,NA,NA,NA,NA,0.360278745644599,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24390243902439,0.382352941176471,NA,NA,NA,0.416666666666667,0.365384615384615,0.212765957446809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L",0,0,0,0,0,0,0,0,0.222222222222222,0.141843971631206,0.00472813238770686,0,0,0.106382978723404,0.283687943262411,0.24113475177305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237014285714286,23.2,NA,1,0
"32","2024-05-03",746721,687952,"Christian Encarnacion-Strand","CncR","Cole Irvin",608344,"BltO",0.214285714285714,0.428571428571429,NA,NA,NA,0.2,NA,0.227272727272727,NA,NA,NA,0.2,NA,0.333333333333333,0.15625,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241892156862745,0.185,0.266732394366197,0.23196,4.32,0.166666666666667,NA,NA,NA,NA,NA,NA,0.522997416020672,NA,NA,NA,NA,NA,0.273732718894009,-0.167557932263815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24390243902439,0.382352941176471,NA,NA,NA,0.416666666666667,0.365384615384615,0.212765957446809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L",0,0,0,0,0,0,0,0,0.222222222222222,0.141843971631206,0.00472813238770686,0,0,0.106382978723404,0.283687943262411,0.24113475177305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237014285714286,23.2,NA,1,0
"33","2024-05-03",746721,600869,"Jeimer Candelario","CncR","Cole Irvin",608344,"BltO",0.333333333333333,0.142857142857143,NA,NA,0.230769230769231,NA,NA,0.244444444444444,NA,0,0.307692307692308,0,NA,0.181818181818182,0.208333333333333,NA,0.416666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178752688172043,0.20656,0.168529411764706,0.183307692307692,4.07692307692308,0.656410256410256,0.282051282051282,NA,NA,0.133333333333333,0.357142857142857,NA,0.595238095238095,NA,0.0483870967741936,0.277310924369748,NA,NA,NA,0.244210526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24390243902439,0.382352941176471,NA,NA,NA,0.416666666666667,0.365384615384615,0.212765957446809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L",0,0,0,0,0,0,0,0,0.222222222222222,0.141843971631206,0.00472813238770686,0,0,0.106382978723404,0.283687943262411,0.24113475177305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237014285714286,23.2,NA,1,0
"34","2024-05-03",746721,669289,"Santiago Espinal","CncR","Cole Irvin",608344,"BltO",NA,0.153846153846154,NA,NA,0.473684210526316,NA,NA,0.24390243902439,NA,NA,NA,NA,NA,0.352941176470588,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.240720588235294,NA,0.240239130434783,0.20695652173913,3.68181818181818,NA,0.575,NA,NA,0.464285714285714,NA,NA,0.154464285714286,NA,NA,NA,NA,NA,0.516363636363636,0.372960372960373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24390243902439,0.382352941176471,NA,NA,NA,0.416666666666667,0.365384615384615,0.212765957446809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L",0,0,0,0,0,0,0,0,0.222222222222222,0.141843971631206,0.00472813238770686,0,0,0.106382978723404,0.283687943262411,0.24113475177305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237014285714286,23.2,NA,1,0
